Company name,Job name,Company location,Score,Estimate salary,Average salary,Size,Founded,Type,Industry,Sector,Revenue
Accenture,Life Sciences - Data Engineering Consultant,"Florham Park, NJ",4.1,$111K - $210K (Glassdoor est.),"$152,765 /yr (est.)",10000+ Employees,1989,Company - Public,Consulting,Business Services,$10+ billion (USD)
MathWorks,"Partner Manager, Data Science Platforms","Natick, MA",4.4,$98K - $170K (Glassdoor est.),"$152,765 /yr (est.)",10000+ Employees,1984,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
North Alabama Medical Center,Data Analyst,"Florence, AL",2.7,$33K - $70K (Glassdoor est.),"$48,465 /yr (est.)",1001 to 5000 Employees,Hospital,Unknown / Non-Applicable,-1,-1,-1
Alaska Heart and Vascular Institute,Data Analyst,"Anchorage, AK",3.4,$37K - $81K (Glassdoor est.),"$54,926 /yr (est.)",51 to 200 Employees,Company - Private,$10 to $25 million (USD),-1,-1,-1
Medical Mutual of Ohio,Customer Data Analyst I,"Brooklyn, OH",4.1,$47K - $93K (Glassdoor est.),"$54,926 /yr (est.)",51 to 200 Employees,Company - Private,$10 to $25 million (USD),-1,-1,-1
"InnovaCare Partners, LLC",Data Analyst,"Orlando, FL",-1,$42K - $82K (Glassdoor est.),"$66,004 /yr (est.)",1001 to 5000 Employees,1945,Nonprofit Organization,Insurance Carriers,Insurance,$1 to $2 billion (USD)
3M,Data Scientist,"Maplewood, MN",3.9,$68K - $124K (Glassdoor est.),"$91,955 /yr (est.)",10000+ Employees,1902,Company - Public,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD)
Omaha Public Power District,Data Engineer,"Omaha, NE",4.7,$69K - $127K (Glassdoor est.),"$91,955 /yr (est.)",10000+ Employees,1902,Company - Public,Miscellaneous Manufacturing,Manufacturing,$10+ billion (USD)
"Spalding Consulting, Inc.","Data Analyst, Junior","Patuxent River, MD",4.0,$47K - $94K (Glassdoor est.),"$93,934 /yr (est.)",1001 to 5000 Employees,1946,Company - Public,Utilities,"Oil, Gas, Energy & Utilities",$1 to $2 billion (USD)
Rush University Medical Center,Statistician I - Rush Preventative Medicine,"Chicago, IL",4.0,$54K - $110K (Glassdoor est.),"$77,392 /yr (est.)",5001 to 10000 Employees,1837,Hospital,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Fidelity Investments,"Vice President, Data Science Practice Lead","Boston, MA",4.2,$112K - $195K (Glassdoor est.),"$147,811 /yr (est.)",10000+ Employees,1946,Company - Private,Investment Banking & Asset Management,Finance,$10+ billion (USD)
IntraFi Network,Data Engineer,"Arlington, VA",4.8,$65K - $132K (Glassdoor est.),"$93,027 /yr (est.)",201 to 500 Employees,2002,Company - Private,Financial Transaction Processing,Finance,Unknown / Non-Applicable
Vibrent Health,"Data Engineer – Fairfax, VA","Fairfax, VA",3.3,$81K - $152K (Glassdoor est.),"$111,007 /yr (est.)",51 to 200 Employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Visiting Nurse Association of Central Jersey,Data Engineer,"Holmdel, NJ",3.0,$75K - $148K (Glassdoor est.),"$105,254 /yr (est.)",1001 to 5000 Employees,1912,Nonprofit Organization,Social Assistance,Non-Profit,$50 to $100 million (USD)
Spectrum Communications & Consulting Inc.,Data Engineer,"Chicago, IL",4.1,$71K - $128K (Glassdoor est.),"$95,476 /yr (est.)",51 to 200 Employees,1992,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD)
Putnam County Hospital,Data Analyst - Report Writer,"Greencastle, IN",3.5,$39K - $81K (Glassdoor est.),"$56,213 /yr (est.)",51 to 200 Employees,Company - Private,Health Care Services & Hospitals,Health Care,$25 to $50 million (USD),-1
Applied Information Sciences,Data Engineer,"Reston, VA",4.4,$73K - $143K (Glassdoor est.),"$102,529 /yr (est.)",201 to 500 Employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Keen Decision Systems,Client Success Associate,"Ewing, NJ",4.0,-1,-1,1 to 50 Employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
NT Concepts,Data Engineer,"Herndon, VA",3.8,$74K - $141K (Glassdoor est.),"$102,121 /yr (est.)",51 to 200 Employees,1998,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Boeing Intelligence & Analytics,Data Engineer,"Crystal City, VA",4.0,$73K - $138K (Glassdoor est.),"$99,853 /yr (est.)",201 to 500 Employees,Subsidiary or Business Segment,IT Services,Information Technology,Unknown / Non-Applicable,-1
GEICO,Lead Data Scientist,"Chevy Chase, MD",3.4,$84K - $146K (Glassdoor est.),"$110,910 /yr (est.)",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Takeda Pharmaceutical,Head of Analytical Quality Control,"Thousand Oaks, CA",3.3,-1,-1,5001 to 10000 Employees,1969,Company - Public,Consulting,Business Services,$1 to $2 billion (USD)
GEICO,Senior Data Analyst,"Chevy Chase, MD",3.4,$79K - $120K (Glassdoor est.),"$97,499 /yr (est.)",10000+ Employees,1936,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
ManTech International Corporation,Data Scientist,"Stafford, VA",4.2,$71K - $139K (Glassdoor est.),"$99,542 /yr (est.)",5001 to 10000 Employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD)
